number	latency	duration	channel	bvtime	bvmknum	visible	type	code	urevent
1.000000	1.000000	NaN	0.000000	922580656.000000	1.000000		boundary	New Segment	1.000000
2.000000	18571.240000	0.512000	0.000000		2.000000		S  3	Stimulus	2.000000
3.000000	18827.240000	0.512000	0.000000		3.000000		S  4	Stimulus	3.000000
4.000000	19083.240000	0.512000	0.000000		4.000000		S  3	Stimulus	4.000000
5.000000	19339.240000	0.512000	0.000000		5.000000		S  4	Stimulus	5.000000
6.000000	19595.240000	0.512000	0.000000		6.000000		S  3	Stimulus	6.000000
7.000000	19851.240000	0.512000	0.000000		7.000000		S  4	Stimulus	7.000000
8.000000	20107.240000	0.512000	0.000000		8.000000		S  3	Stimulus	8.000000
9.000000	20363.240000	0.512000	0.000000		9.000000		S  4	Stimulus	9.000000
10.000000	20619.752000	0.512000	0.000000		10.000000		S  3	Stimulus	10.000000
11.000000	20875.752000	0.512000	0.000000		11.000000		S  4	Stimulus	11.000000
12.000000	21131.752000	0.512000	0.000000		12.000000		S  3	Stimulus	12.000000
13.000000	21387.752000	0.512000	0.000000		13.000000		S  4	Stimulus	13.000000
14.000000	21643.752000	0.512000	0.000000		14.000000		S  3	Stimulus	14.000000
15.000000	21899.752000	0.512000	0.000000		15.000000		S  4	Stimulus	15.000000
16.000000	22155.752000	0.512000	0.000000		16.000000		S  3	Stimulus	16.000000
17.000000	22411.752000	0.512000	0.000000		17.000000		S  4	Stimulus	17.000000
18.000000	22667.752000	0.512000	0.000000		18.000000		S  3	Stimulus	18.000000
19.000000	22923.752000	0.512000	0.000000		19.000000		S  4	Stimulus	19.000000
20.000000	23179.752000	0.512000	0.000000		20.000000		S  3	Stimulus	20.000000
21.000000	23435.752000	0.512000	0.000000		21.000000		S  4	Stimulus	21.000000
22.000000	23691.752000	0.512000	0.000000		22.000000		S  3	Stimulus	22.000000
23.000000	23947.752000	0.512000	0.000000		23.000000		S  4	Stimulus	23.000000
24.000000	24203.752000	0.512000	0.000000		24.000000		S  3	Stimulus	24.000000
